Title,Contents,"label(긍정1, 부정0)"
태권도 유단자들의 살인 발차기…23살 청년을 죽였다[그해 오늘],"[이데일리 한광범 기자] 2020년 1월 1일 새벽 3시 무렵. 새해를 맞아 여자친구와 서울 광진구의 한 클럽에 갔던 A씨(당시 만 23세)는 자신의 여자친구에게 추근덕대는 남성 이모씨(당시 21세)를 제지했다. A씨 여자친구의 손을 잡고 끌고 가려던 이씨와 다른 일행인 김모씨, 오모씨는 A씨에게 시비를 걸기 시작했다. 당시 만 21살 대학생이었던 이들은 대학에서 태권도를 전공한 유단자들로 각종 대회 우승 경험도 있었다. 심지어 이들 중 한 명은 국가대표 선발 예선전에서 1위에 오른 경력이 있기도 했다. 클럽 종업원이 달려와 싸움을 말리자 김씨 등은 A씨 멱살을 잡고 클럽 밖으로 끌고 나갔다. 이들은 인근 상가로 A씨를 데리고 간 후 CCTV가 있는지 확인한 후 A씨를 벽쪽으로 몰아 둘러싼 후 무릎과 발 등으로 무차별적으로 폭행하기 시작했다. 태권도 유단자인 이들 남성 3명의 폭행 앞에 A씨는 속수무책 당할 수밖에 없었다. 김씨 등의 무차별 폭행에 A씨가 쓰러졌지만 이들은 구둣발로 A씨를 더욱 강하게 폭행했다. 무차별 폭행에 인근의 행인들도 말리지 못했다.

폭행으로 A씨가 의식을 잃자 김씨는 A씨 얼굴을 조준해 축구공 차듯이 강하게 걷어찼다. 쓰러진 A씨가 피를 흘리고 완전히 의식을 잃었지만 김씨 일당은 A씨를 그대로 방치하고 현장을 벗어났다. 그 사이 시민의 신고로 A씨는 뒤늦게 병원으로 옮겨졌으나 결국 폭행에 의한 뇌출혈로 사망했다.

현장을 벗어난 이씨 등은 인근 편의점에서 아이스크림을 산 뒤 오전 3시20분께 택시를 타고 귀가했다. 집이 같은 방향이었던 김씨와 이씨가 함께 택시를 탔고 오씨는 별도로 탔다.

김씨와 이씨가 탄 택시 내부 블랙박스에는 이들이 아이스크림을 들고 웃으며 탑승하는 모습이 고스란히 담겼다. 이들은 택시기사가 묻기 전 택시 안에서 서로 주먹을 휘두르고 맞는 시늉을 하면서 폭행 당시 상황을 재연하는 모습을 보이기도 했다. 이씨가 “상가 안에서 니킥을 찼다”고 말하는 모습도 포착됐다.

경찰은 목격자 진술을 토대로 김씨 일당을 찾아나섰다. 이들이 택시를 타고 현장을 벗어났다는 행인들의 증언을 토대로 탑승한 택시 기사에게 전화를 걸었다. 경찰은 사건내용을 간략하게 설명하며 “폭행 사건 용의자들을 태우지 않았느냐”고 물었다. 이에 택시기사는 “남자 세 명이 한 명을 폭행해서 제 택시를 타고 도망가고 있다고요?”라고 큰 소리로 물었고 그 전까지 웃으며 대화를 나누던 김씨와 이씨는 표정이 급격히 어두워졌다.

택시기사가 경찰과의 전화를 끊기 전까지 두 사람은 아무말 없이 자신의 휴대전화만 바라보고 있었다. 택시기사가 경찰과 전화를 끊은 후 뒷자리에 타고 있던 두 사람에게 물었다.

“승객 두 분 싸움한 거 아니죠? 건대 앞에서 네 명이 싸운 뒤 내 택시를 타고 도망을 갔다고 지금 경찰 전화가 왔다. 그런데 맞은 사람 생명이 위독하다는 식으로 말하고 있다.”

김씨와 이씨는 뻔뻔한 거짓말을 했다. “저희는 사람이랑 안 싸워요.”


태권자 유단자인 이모씨, 김모씨, 오모씨(동그라미 친 인물들) 구속 당시 모습. (사진=채널A 뉴스 갈무리)
경찰은 김씨 일당의 신원을 확인한 후 체포했다. 법원도 곧바로 구속영장을 발부했다.

하지만 김씨 일당은 경찰 조사에서 “폭행한 것은 맞지만 죽을 줄은 몰랐다”고 살해 의도가 없었다고 주장했다.

시비 원인 제공자 “나 아닌 다른 2명이 죽였다”

경찰도 일단 살인이 아닌 상해치사 혐의로 이들을 검찰에 송치했다. 검찰은 추가 수사를 진행해 “무술 유단자 3명이 집단 폭행에 가담해 사망에 미필적 고의가 있다”며 살인 혐의를 적용해 재판에 넘겼다.

김씨와 오씨는 법정에서 피해자 얼굴을 조준해 찼다는 사실을 인정하면서도 살인이 아니라고 주장했다. 이들은 사망의 고의가 없었던 만큼 상해치사만 인정하고 살인 혐의는 인정할 수 없다고 밝혔다. 클럽 내 시비의 원인 제공자였던 이씨의 경우 “상가 안에서 피해자를 폭행하지 않았다”며 무죄를 주장하기도 했다.

검찰은 “살인의 미필적 고의가 인정된다”며 이들에게 징역 12년을 선고해달라고 재판부에 요청했다.

1심은 “전문적으로 태권도를 수련한 선수들은 피고인들이 피해자를 일방적으로 무참히 폭행한 후 어떠한 구호조치도 취하지 않았다. 죄질이 매우 좋지 않다”고 살인 혐의를 인정했다.

다만 “계획적으로 살해하려 했거나 적극적 살해 의도는 보이지 않고 술에 취해 충동적이고 우발적으로 범행을 저질렀다”며 살인죄로는 비교적 가벼운 징역 9년을 선고했다. 이씨 일행은 이에 불복해 상소했지만 2심과 대법원 모두 1심 판단을 유지했다.",0
"다신 보고 싶지 않은 ‘이 사진’…세상에서 가장 괴로운 뉴스 [지구, 뭐래?]","[헤럴드경제 = 김상수 기자]정말 춥다. 조금만 기억을 되돌려보자. 겨울이 맞나 싶을 만큼 따뜻했었다. 좀 더 기억을 더듬어보면, 그야말로 미친듯 폭우가 쏟아졌다. 유례없는 가뭄에 남부지방이 초토화됐고, 기록적인 산불로 울진 숲은 여전히 검다.

이게 모두 2022년 한 해에 일어났다. 그런데 한국만의 일은 아니다. 올해 전 세계의 이상기후 재난을 살펴보면, 오히려 한국은 다행일 정도다.

영국의 ‘크리스천에이드(Christian Aid)’는 최근 ‘2022년 기후재난 비용 집계 보고서(Top 10 climate disasters cost the world billions in 2022)’를 발표했다. 다신 보고싶지 않은, 다신 있어선 안 될 10대 뉴스다.



2월 중순 벨기에, 독일, 아일랜드, 네덜란드, 폴란드, 영국 등 유럽 대륙에 유례없는 폭풍이 등장했다. 풍속은 시속 196km에 달했다. 총 16명이 사망했고, 43억 달러의 피해를 일으켰다.

호주에선 대홍수가 났다. 퀸즐랜드주 남부 등은 불과 일주일 만에 1년치 비가 내렸다. 시드니도 하루 만에 한달치 비가 내렸고, 브리즈번은 3일 동안 800mm의 강우량을 기록했다. 6만명 이상의 이재민이 발생했고, 최소 75억달러의 피해가 발생했다.

4월엔 남아프리카공화국에 48시간 동안 450mm가 내렸고, 60년 만에 가장 많은 비가 쏟아졌다. 500여명에 가까운 사망자가 발생했을 만큼 충격적인 폭우였다.


지난 8월 파키스탄에서 발생한 홍수로 주택들이 물에 잠겨 있다. [AP]

지난 8월 파키스탄에 폭우가 내리자 어른들이 아이들을 대피시키고 있다. [AFP]


하지만 이들 홍수와 폭우는 여기에 비하기 힘들다. 바로 파키스탄 홍수. 이 홍수는 마치 성서에 나온 노아의 방주처럼 모든 걸 집어삼켰다. 1700명 이상이 숨졌고, 국토 3분의 1이 물에 잠겼다. 크리스천에이드 보고서는 이 재난의 피해액을 56억 달러로 잡았지만, 세계은행은 이 홍수로 인한 물질적·경제적 손실이 총 300억달러에 이를 것으로 추산했다. 최대 900만명이 홍수 때문에 빈곤층으로 전락할 것이란 분석도 나왔다.

홍수 이후 전염병이 창궐해 아이들이 매일 10명씩 죽고 있으며, 아이들 200만명이 학교를 못 가고 있다는 소식도 있다. 파키스탄의 홍수 피해 복원은 여전히 요원한 상태다.

홍수는 중국도 강타했다. 최소 239명의 사상자가 발생했다. 특히 중국의 홍수는 경제적 피해가 막심했다. 광둥성 남부에서 발생한 홍수로 사람은 물론 공장 가동까지 중단되면서 이는 전 세계로도 여파가 이어졌다. 이때 홍수로 수위는 50년 만에 최고 수위를 기록했고, 한 연구기관에선 중국이 세계에서 홍수 위험이 가장 큰 나라일 것이란 조사 결과도 발표했다.


지난 8월 폭염 속 포르투갈 리스본 해변[AP]


유럽은 폭풍뿐 아니라 유례없는 폭염·가뭄에도 시달렸다. 지난 여름 유럽은 기록적으로 가장 더웠다. 세계보건기구(WHO)은 유럽 지역에서 최소 1만5000여명이 열 관련 질환으로 사망했다고 발표했다. 기상 기록이 시작된 이래 가장 더운 여름이었다. 40도는 무난한 지경이었다. 포르투갈은 47도까지 올랐고, 스페인도 45도를 기록했다.

9월엔 허리케인 피오나가 카리브해와 캐나다를 강타했다. 푸에르토리코는 섬 90%가 정전됐고, 8명이 사망했다. 도미니카 공화국엔 1만3000명의 이재민이 발생했다. 시속 187km 이상의 강력한 풍속으로 12m 높이의 파도까지 일으켰다.


지난 10월 허리케인 이안 때문에 미국 플로리다주의 한 다리가 끊어졌다.[AP]


9월 미국을 강타한 허리케인 이안도 10대 재난 중 하나로 꼽혔다. 시속 241km에 이르는 바람이 플로리다를 휩쓸었다. 카트리나에 이어 두번째로 치명적인 허리케인이었다. 1992년 이래 플로리다에서 가장 많은 희생자가 나왔다. 130명 이상이 숨졌고, 4만명 이상의 이재민이 발생했다.


This photo taken on November 5, 2022, shows tourists walking at the dried-up freshwater Poyang Lake in J중국 장시성 호수가 극심한 가뭄으로 마르자 관광객이 그 위를 걸어가고 있다. [AFP]


브라질과 중국의 가뭄이 마지막 2가지 뉴스다. 가뭄은 1년 내내 이들 국가를 괴롭혔다. 올해 브라질은 가뭄으로 농업 피해가 막심했다. 34개에 이르는 상품에서 세계 5위 생산국이다. 하지만 극심한 가뭄으로 수확량이 급감했다. 세계 최대 커피 생산국의 가뭄 여파가 세계 커피 시장값을 흔들었을 정도다.

중국도 가뭄에 시달렸다. 양쯔강 수위가 급감해 선박 운항이 중단됐고, 수력발전도 전력 공급이 중단됐다.


한 소년이 가뭄으로 말라버린 습지에서 배 위를 걷고 있다. [AFP]


보고서는 2022년 발생한 10가지 극한 기후재난으로 인한 비용이 30억달러(약 3조8000억원)~ 1000억달러(약 126조7000억원)에 이른다고 밝혔다. 10대 재난 비용을 합치면 1681억달러(약 212조원)다.

보고서는 이 추정치가 보험 손실만을 기반으로 계산한 것이라고 밝혔다. 실제 피해액은 이를 훨씬 웃돌 것이란 설명이다.

보고서는 “보험금으로 보면 선진국의 피해가 큰 것처럼 보이지만, 올해 가장 파괴적인 기상 이변은 상당수 기후위기 책임이 거의 없는 개발도상국에서 발생했다”고 지적했다.",0
"'돈 많은 줄 알았는데'…래퍼 도끼, 세금 체납에 건보료도 밀려","래퍼 도끼(33)가 최근 3억 원 가량의 세금을 체납한 것으로 알려진 가운데 건강보험료도 1000만 원 이상 밀린 것으로 나타났다.

국민건강보험공단이 1일 홈페이지를 통해 공개한 4대 보험료 고액·상습 체납자 명단에 따르면 이준경(도끼의 본명)은 2018~2019년 총 1666만 원의 건보료를 체납했다. 이에 따라 2020년, 2021년 말 2년 연속 인적사항 공개 대상에 이름을 올렸다.

건보공단은 1000만 원 이상의 건보료를 1년 이상 내지 않는 이들을 조사해 일정 기간 자진 납부와 소명의 기회를 주고 이후 명단을 공개한다. 건보료를 낼 수 있다고 판단되지만 내지 않은 경우에 주로 공개 대상이 된다. 건보공단은 대상자가 건보료를 모두 혹은 일부 납부해 체납액이 1000만 원 이하가 될 경우 즉시 명단에서 대상자를 삭제한다. 따라서 아직 명단에 남아있다는 것은 체납액을 납부하지 않은 상태라는 의미다.

한편 도끼는 지난달 15일 국세청이 공개한 고액·상습 체납자 6940명의 명단에도 이름을 올린 바 있다. 도끼의 체납액은 종합소득세 5건 등 총 3억3200만 원이다.

국세청과 건보공단은 체납자의 도덕적 해이를 막고 보험재정 건전성을 높이고자 고액·상습 체납자 명단을 만들어 이름, 나이, 주소 등 인적사항을 공개하고 있다. 명단에 이름이 오르면 병·의원 이용시 건강보험 혜택을 받을 수 없다.",0
"""생명 위협 느껴"" 히잡 벗은 이란 女 체스 선수, 보복 무서워 간 곳은","히잡을 벗고 국제 대회에 참가해 세계적 관심을 받았던 이란의 여성 체스선수 사라 카뎀(25·사진)이 정부의 보복을 피해 스페인으로 이주할 예정으로 알려졌다.

영국 일간 텔레그래프와 가디언 등의 최근 보도에 따르면 카뎀이 남편과 아이와 함께 스페인으로 이주할 예정이다.

카뎀은 최근 카자흐스탄 알마티에서 열린 국제체스연맹(FIDE) ‘세계 래피드&블리츠 체스 챔피언십’에 히잡을 쓰지 않고 참가했다. 당시 카뎀은 히잡을 착용하지 않은 이유에 대해 발언하지 않았지만, 외신들은 지난 9월 사망한 뒤 이란 내 ‘히잡 시위’의 도화선이 된 마흐사 아미니(22)에 대한 연대의 제스처로 파악했다.

엘파이스는 카뎀 측 관계자를 인용해 “카뎀이 이란으로 돌아갈 경우 히잡을 쓰지 않은 사진이 공개된 것으로 인해 목숨이 위험할 것이라는 점을 잘 알고 있다”고 보도했다. 신문은 또 “카뎀 부부는 스페인에 아파트를 소유하고 있지만, 안전에 대한 우려로 아파트 위치를 공개하고 싶어하지 않는다”고 전했다. 카뎀이 해외에 거주하더라도 위치가 알려질 경우 이란 최정예군 혁명수비대 해외요원들이 암살에 나설 수 있기 때문이다.

가디언은 이 선수가 지난 9월 이란의 반정부 시위가 발생한 이후 이란의 엄격한 여성복장 규정을 위반한, 가장 최신의 사례라고 평가했다. 이란에서는 마하사 아미니라는 여성이 히잡을 쓰지 않았다는 이유로 도덕경찰에 체포된 뒤 의문사한 사건 이후 100일 이상 반정부 시위가 지속되고 있다.

지난 10월에는 이란의 스포츠클라이밍 선수 엘나즈 레카비(33)가 히잡을 쓰지 않고 국제 스포츠클라이밍 대회에 참가한 바 있다. 이 선수는 히잡을 쓰지 않은 것에 대해 사과하면서 이를 실수라고 해명했다. 하지만 최근 외신은 엘나즈 가족의 주택이 보복으로 완전 철거됐다고 보도했다.

한편, 지난 2019년 이란 당국의 이스라엘 선수와의 체스 시합 금지령에 불복하고 국가대표 자격을 포기한 세계랭킹 4위 알리레자 피리우자(19)도 망명 후 프랑스에 머물고 있다.",0
나체로 창고에 가둬' 지적장애 동생 학대한 친누나 부부 체포,"말을 듣지 않는다는 이유로 지적장애인인 동생을 집 창고에 가두고 학대한 혐의로 20대 부부가 경찰에 붙잡혔습니다.

전북경찰청 등에 따르면 지적장애인 3급인 23살 A 씨는 친누나인 25살 B씨 와 매형 27살 C 씨로부터 두 달여간 감금·폭행을 당했다고 주장하고 있습니다.

이번 사건은 지난달 31일 오전 B 씨의 집 근처를 지나는 이웃이 ""살려달라""고 소리치는 구조 요청을 듣고 경찰과 소방당국에 신고하면서 세상에 알려졌습니다.

A 씨는 구조 당시 옷을 입지 않은 상태로 몸 이곳저곳에는 오랜 시간 갇혀 지내서 생긴 듯한 욕창 등이 발견됐다고 경찰은 전했습니다.

A 씨는 경찰에서 ""누나와 매형이 말을 듣지 않는다며 가두고 뜨거운 다리미를 이용해 몸을 학대하는 등 폭행했다""고 진술했습니다.

조사 결과 A 씨는 임실에 사는 부모와 함께 살다가 전북대병원 정신과병동에 입원했으며, 지난해 11월 A 씨를 직접 돌보겠다는 B 씨를 따라 퇴원해 B 씨의 집에서 두 달여 간 지낸 것으로 확인됐습니다.

B 씨는 ""대소변도 못 가리고, 기본적인 것도 하지 못해 집 안에 남동생을 있도록 했다""면서 ""화상 등 상처는 남동생이 자해한 것""이라고 혐의를 부인했습니다.

경찰은 B 씨 부부를 긴급 체포하고, 감금 치상 혐의로 구속영장을 신청할 예정입니다.",0
"""미화 아줌마에요""…지갑 분실 여대생 받은 택배 속 편지 '감동'","지갑을 잃어버린 뒤 찾기를 포기했던 한 대학생이 학교 미화 아주머니 덕분에 다시 지갑을 찾게됐다는 사연에 네티즌들의 관심이 쏠렸다.

숙명여대 학생 A씨는 최근 대학교 익명 커뮤니티 '에브리타임'에 ""세상은 아직 참 따뜻하다""며 최근 자신이 겪은 일을 전했다.

글 내용을 보면 기말고사 기간 지갑을 잃어버린 A씨는 도저히 찾을 방법이 없어 포기하고 있었다. 그런데 어느 날 택배가 왔고, 그 안에는 자신의 지갑이 들어있었다.

상자 안에는 A씨가 다니는 학교에서 근무하는 미화 아주머니가 쓴 쪽지가 함께 있었다.

쪽지는 ""안녕하세요. 저는 숙명여대 과학관 6층에서 근무한 미화 아줌마예요""라는 문장으로 시작했다.

그러면서 ""강의실에 코트가 있어서 그 자리에 접어놓았는데, 오래돼도 찾아가지 않았다""며 ""연말이 돼 정리하려고 보니 주머니에 지갑이 있었다""고 상황을 전했다.

지갑 속에 들어있는 주민등록증을 확인한 미화원 아주머니는 ""거금이 있어서 (주민등록상) 주소로 보낸다. 며칠 동안 주인 찾길 기도했다""고 적었다.

이에 대해 A씨는 ""진짜 너무 감사하고 세상은 아직 참 따뜻하다는 걸 느꼈다""며 ""우리 학교에 이런 마음 따뜻한 분이 계신다는 걸 알리고자 글 올린다""고 했다.

아울러 A씨는 ""어떻게 감사를 전해야 하냐""라고 조언을 구했다. 뿐만 아니라 A씨는 지갑과 함께 배달받은 코트가 본인 것이 아니라고 했다. 당초 지갑만 잃어버렸다면서 누군가 떨어진 지갑을 코트 주머니에 넣어둔 것으로 추측했다. 이에 코트의 주인을 찾아주기 위해 학교에 맡길 예정이라고 했다.

이후 A씨는 택배에 적힌 '보낸 이 연락처'를 보고 해당 미화원에게 연락한 것으로 전해졌다.

해당 사연을 접한 네티즌들은 ""연말에 훈훈한 이야기"", ""인류애가 충전된다"", ""미화원분 복 바으실 것"", ""간만에 마음이 따뜻해진다"" 등의 반응을 이어갔다.",1
"""너무 울어 죄송해요"" 편지 쓴 엄마‥이웃 답장에 '엄마도 울 뻔'","태어난 지 한 달도 안 된 갓난아기.

태명은 '복숭이'입니다.

아픈 곳 없이 잘 먹고 잠도 잘 자지만 밤낮없이 울어 대기 일쑤

'복숭이' 엄마 정정선 씨는 그래서 걱정이 많았습니다.

정 씨가 살고 있는 곳은 충남 천안의 한 아파트

지은 지 꽤 오래된 복도식 아파트라 평소에도 옆집 소리가 들리곤 했습니다.

[정정선/제보자]
""그냥 (옆집과) TV를 같이 보고 있는 거 같아요. 저희 옆집도 딸이 아기를 낳아서 며칠간 와 있었는데 그때도 아기 소리가 엄청 크게 들리더라고요. 그래서 '아.. 아기 낳아서 오면 우리도 저렇겠구나' 해가지고""

아기가 울 때마다 이웃집에서 밤잠을 설치면 어쩌나 하는 고민에 늘 마음이 편치 않았다는데요.

[정정선/제보자]
""옆집이나 윗집이나 저희 동네에 어르신들이 많이 사시는데 새벽에 일을 많이 나가신단 말이에요. 그러다 보니까 아기가 아직 밤낮이 없어서 하루 종일 울고 있어서 너무 신경 쓰였어요.""

그래서 고민 끝에 이웃들에게 선물을 하기로 한 정선 씨

정성스럽게 쓴 편지와 함께 작은 선물을 이웃집에 전달했습니다.

[정정선/제보자]
""옆집 윗집이라고 붙여 놓고 아기가 밤낮이 없어서 너무 죄송하다고 얼른 키우겠다고 그렇게 붙여서 드렸어요. 문고리에다가 걸어놨어요.""

그런데 그 뒤, 정선 씨네 집 문 앞엔 선물과 함께 이웃의 손 편지 답장이 와 있었습니다.

""지금 아기 울음소리는 반가운 소리""라며 ""얘기해 줘서 고맙다, 아기 건강하게 잘 키우시라""는 윗집

그러면서 오히려 ""저도 아기한테 방해 안 되게 좀 더 조심하겠다""고 편지에 적었습니다.

[정정선/제보자]
""윗집에서는 일단 답장을 받았고, 답장이랑 보냈던 선물이 다시 돌아왔고, 지금 이 시대에 아기 울음소리는 좋은 소리라고 자기는 괜찮으니까 신경 쓰지 말라고..""

옆집에선 아기 내복을 선물해 줬고 아랫집 이웃은 정선 씨를 찾아와 아기 이름이라도 알려달라며 기도를 해주겠다고 인사를 하고 갔다고 합니다.

이번 일을 계기로 오히려 이웃들과 더 가까워졌다는 정선 씨

새해에는 조금 더 따뜻한 사회가 되길 바라며 MBC에 제보를 하게 됐다고 말했습니다.

[정정선/제보자]
""저는 집에만 있으니까 마주칠 일은 거의 없는데 남편이 마주치면 아기 잘 크고 있냐고 물어보신다고 하더라고요. 요즘 세상이 많이 흉흉하고, 이상한 일들도 많이 일어나는데 아직 이웃 주민들 중에서는 따뜻한 사람들이 많고, 도움을 많이 필요로 하는 분들도 계시는 거 같은데 주변에 많이 살펴보고 이웃들과도 따뜻한 정 많이 나누셨으면 좋겠습니다.""",1
"트라우마 극복 못하고 '극단적 선택' 고교생, 이태원 참사 희생자로 인정","친구 2명을 이태원 참사 사고 현장에서 떠나보낸 트라우마를 끝내 극복하지 못하고 지난달 12일 세상을 떠난 고등학생이 이태원 참사 희생자로 인정됐다.

행정안전부는 지난달 이태원 참사 부상자가 극단적 선택으로 사망한 것과 관련해 이를 사망자로 인정하기로 했다고 3일 밝혔다.

이에 따라 정부가 공식 집계한 이태원 참사 사망자는 158명에서 159명으로 1명 늘어났다.

행안부는 관계 법률 및 의료분야 전문가 의견을 청취한 결과 직접적인 인과관계가 성립돼 사망자로 인정한 것이라고 설명했다.

그러면서 해당 사망자는 재난 및 안전관리 기본법에 따라 기존 사망자와 동일하게 구호금과 장례금을 지급받게 된다고 덧붙였다.

이태원 참사 현장에서 살아남은 한 고등학생은 사고 이후 심리치료를 받았지만, 친구 2명을 사고 현장에서 떠나보낸 트라우마를 끝내 극복하지 못하고 지난달 12일 세상을 떠났다.

이태원 참사 국정조사 특별위원회 보고 과정에서 야당 측은 참사 생존자가 트라우마로 뒤늦게 사망한 경우에도 희생자로 인정해야 한다고 주장했다.

이 학생의 어머니는 지난달 29일 이태원 참사 국정조사 특별위원회 기관 보고에서 기본소득당 용혜인 의원을 통해 ""제 아이는 이번 참사의 희생자""라면서 ""유가족 지원을 위한 원스톱 통합지원 등 정부의 어떤 기관으로부터 우리 아이가 죽은 후 연락을 받아본 적이 없다""고 밝히기도 했다.

행안부 관계자는 ""유족 측에서 원스톱 지원센터에 문의해왔고 이후 법률 자문과 의료 전문가 의견을 들어 사망자로 인정해 오늘 통보했다""고 설명했다.

앞서 지난해 10월 29일 오후 10시 15분 용산구 이태원 골목 압사 참사로 159명이 숨지고, 197명이 다치는 등 총 350여 명의 사상자가 발생했다.",1
"“수백 번 접속했는데, 이럴 거면 왜?”…한라산 ‘예약 오류’에 등산객들 분노","새해 첫날 한라산에서 일출을 보려다가 실패하신 분들 많으실 겁니다. 사전예약 인원 1,500명이 1시간 만에 마감됐을 만큼 경쟁률이 치열했기 때문인데요.

그런데 새해 첫날인 1월 1일 0시. 야간 산행이 시작되던 시각 갑자기 사전예약 인원이 1,500명에서 3,000명으로 늘어나는 황당한 사태가 벌어졌습니다. 도대체 무슨 일이 있었던 걸까요?

■ 시스템 오류로 예약 인원 증가

하얀 구름 사이로 새해 첫 일출이 장엄한 모습을 드러냅니다. 3년 만에 한라산 야간 산행이 허용되면서 백록담이 있는 정상엔 일출을 보기 위한 등반객으로 가득합니다.

이들은 지난해 12월 1일 사전예약에 성공한 사람들입니다. 당시 사전예약은 서버가 마비될 정도로 관심이 뜨거웠는데요. 1시간도 안 돼 성판악 코스 1,000명, 관음사 코스 500명이 선착순으로 마감됐습니다.

이후에도 중고거래 사이트에 한라산 탐방 QR 코드가 매물로 올라오는 등 과열 현상이 잇따랐습니다. 이에 제주도는 불법거래가 적발될 경우 업무방해 혐의로 경찰에 고발하겠다며 엄포를 놓기도 했습니다. 그만큼 1월 1일 등반은 선택된 자들만 오를 수 있는 산행이었습니다.


지난 1일 한라산 백록담에서 일출을 보고 있는 등산객들 (사진=시청자 제공)

그런데 산행이 시작된 1월 1일 0시에 황당한 일이 벌어졌습니다.

탐방 예약 시스템에 오류가 생기면서 성판악 코스 예약 인원이 기존 1,000명에서 2,000명으로, 관음사 코스는 기존 500명에서 1,000명으로 각각 두 배나 증가한 겁니다.

한순간에 1,500자리가 추가로 생겨나면서 이 사실을 인지한 일부 등산객은 0시 이후 예약을 해 당일 새벽에 야간 산행을 다녀올 수 있었습니다.


1월 1일 0시 이후 성판악 코스 예약 인원이 기존 1,000명에서 2,000명으로 늘어난 모습

한라산국립공원관리소는 이 사실을 뒤늦게 파악한 뒤 이날 새벽 1시 20분쯤 오류를 조치했습니다.

■ 예약 실패한 등산객들 '분통'

예약에 실패한 등산객들은 분통을 터뜨렸습니다.

한 달 전 예약에 실패한 한 등산객은 ""사전 예약하려고 수백 번이나 국립공원 홈페이지에 접속했고, 날마다 누군가 취소하길 기다리며 휴대폰을 확인했는데 예약을 못 했다""며 ""배신감이 느껴질 정도로 굉장히 실망스럽다""고 울분을 토했습니다.

취재진은 구체적인 원인을 파악하기 위해 예약 시스템을 담당하고 있는 관리 업체에 해당 사태를 문의했습니다.

업체 측은 ""해당 오류 원인과 조치사항에 대해서는 한라산국립공원사무소로 보고될 예정""이라며 ""직접 답변 드리기 어려운 부분 양해 부탁드린다""는 입장을 전해왔습니다.

한라산국립공원관리소 측은 시스템 오류였다고 밝혔습니다.

부재윤 한라산국립공원관리소 공원운영팀장은 ""1월 1일 야간 산행에 맞춰서 그날 하루만 프로그램이 세팅돼 있었는데, 기존 세팅과 충돌하면서 일시적으로 오류가 발생했다""고 설명했습니다. 그러면서 ""이런 일이 재발하지 않도록 시스템을 개선해 나가겠다""고 덧붙였습니다.",0
벽엔 '인분' 바닥엔 '꽁초'…아파트 사전점검서 입주민들 경악,"지난해 경기도와 부산 등 신축 아파트에서 인분과 쓰레기가 발견된 적이 있었는데요. 당장 다음 달에 입주를 앞둔 경기도의 한 아파트에서 또 '인분'이 곳곳에서 나왔습니다.

현장에 이해선 기자가 다녀왔습니다.

[기자]

건축 자재가 어지럽게 널브러져 있는 바닥.

입주자 사전 점검 날인데도 현장은 정리가 안 되어 있습니다.

안으로 들어가 보니 벽면에 검은 인분 자국들이 묻어 있습니다.

안방 바닥에는 인분이 그대로 놓여있기도 합니다.

방 한구석, 인분을 덜 치웠는지 흔적이 남았고, 손자국도 찍혔습니다.

입주자들은 분통을 터뜨렸습니다.

[이한나/입주예정자 : 인분이 떨어져 있고…그냥 바닥에 있는 거야 이해를 하겠어. 근데 벽에 인분이 칠해져 있는 현상도…]

변기 뚜껑 위에 소변을 봤고, 바닥에 담배꽁초가 널려 있습니다.

[담배도 피웠네…가지가지 하네.]

[현장 관계자 : 항상 확인을 합니다. 확인을 하는데 놓친 부분이 있는 것 같고 솔직히 말씀드리자면 그 부분은 저희 실수입니다.]

기존 입주 예정 날짜는 지난해 9월이었는데, 4개월이 밀린 상황 아직 완공은 기약이 없습니다.

부서진 계단에 깨진 창문.

정문엔 건축 자재들이 쌓여 있습니다.

시공사는 ""예상치 못한 사고가 있었고 화물연대 파업으로 공사가 늦어졌다""고 해명했습니다.

하지만 화물 연대 파업은 지난해 11월 말, 2주 정도 이어졌을 뿐입니다.

깨끗한 내 집에 들어가고 싶은 입주민들의 기다림이 길어지고 있습니다.",0
